post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47625952,Show HN: I built a frontpage for personal blogs,entertainment,769,193,ramkarthikk,2026-04-06 11:28:04,0.2506493506493506,True
47624645,Show HN: Apfel – The free AI already on your Mac,entertainment,727,150,franze,2026-04-06 11:28:04,0.20604395604395603,True
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,545,181,detaro,2026-04-06 11:28:04,0.3315018315018315,True
47645432,Introduction to Computer Music (2009) [pdf],entertainment,222,75,luu,2026-04-06 11:28:04,0.336322869955157,True
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",entertainment,179,89,jrandolf,2026-04-06 11:28:04,0.49444444444444446,True
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,160,6,teamchong,2026-04-06 11:28:04,0.037267080745341616,True
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,158,26,laszlokorte,2026-04-06 11:28:04,0.16352201257861634,True
47655392,"Show HN: YouTube search barely works, I made a search form with advanced filters",entertainment,157,99,nevernothing,2026-04-06 11:28:04,0.6265822784810127,True
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,153,16,kaipereira,2026-04-06 11:28:04,0.1038961038961039,True
47652322,Music for Programming,entertainment,144,61,merusame,2026-04-06 11:28:04,0.4206896551724138,False
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,112,48,waveywaves,2026-04-06 11:28:04,0.4247787610619469,False
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,70,6,lexalizer,2026-04-06 11:28:04,0.08450704225352113,False
47613118,Show HN: I built a small app for FSI German Course,entertainment,48,14,syedmsawaid,2026-04-06 11:28:04,0.2857142857142857,False
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,32,4,mohshomis,2026-04-06 11:28:04,0.12121212121212122,False
47604155,SpaceX files to go public,science,398,575,nutjob2,2026-04-06 11:28:02,1.4411027568922306,True
47648404,My Google Workspace account suspension,science,342,197,zenincognito,2026-04-06 11:28:02,0.5743440233236151,True
47650502,Computational Physics (2nd Edition) (2025),science,125,16,teleforce,2026-04-06 11:28:02,0.12698412698412698,False
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",science,96,42,Bender,2026-04-06 11:28:02,0.4329896907216495,False
